First-Class Mail - Commercial - Flats,,,,,Final,,12/9/2020,,
,,,,,,,
,Automation,,,,Nonauto,
Weight Not Over (ounces),5-Digit,3-Digit,ADC,Mixed ADC,Presorted,
1,0.460,0.618,0.666,0.774,0.870,
2,0.660,0.818,0.866,0.974,1.070,
3,0.860,1.018,1.066,1.174,1.270,
4,1.060,1.218,1.266,1.374,1.470,
5,1.260,1.418,1.466,1.574,1.670,
6,1.460,1.618,1.666,1.774,1.870,
7,1.660,1.818,1.866,1.974,2.070,
8,1.860,2.018,2.066,2.174,2.270,
9,2.060,2.218,2.266,2.374,2.470,
10,2.260,2.418,2.466,2.574,2.670,
11,2.460,2.618,2.666,2.774,2.870,
12,2.660,2.818,2.866,2.974,3.070,
13,2.860,3.018,3.066,3.174,3.270,
,,,,,,
Single Piece - Letters & Postcards,
,,,Pieces from USPS MKT Mail,,
Weight Not Over (ounces),Cross Reference to PS Form 3600-FCM,,Weight Not Over (ounces),(B6 and B9)
1,0.51,"B5, B8, D5, D13",1,0.55
2,0.71,"B5, B8, D5",2,0.75
3,0.91,"B5, B8, D5",3,0.95
3.5,1.11,"B5, B8, D5",3.5,1.15
Postcard,0.36,B2,-,-
