Library Mail,,,Final,,12/9/2020,,
,
Weight Not Over (lbs),Single Piece,5-Digit Presort,Basic Presort
1,2.75,1.67,2.54
2,3.28,2.20,3.07
3,3.81,2.73,3.60
4,4.34,3.26,4.13
5,4.87,3.79,4.66
6,5.40,4.32,5.19
7,5.93,4.85,5.72
8,6.46,5.38,6.25
9,6.99,5.91,6.78
10,7.52,6.44,7.31
11,8.05,6.97,7.84
12,8.58,7.50,8.37
13,9.11,8.03,8.90
14,9.64,8.56,9.43
15,10.17,9.09,9.96
16,10.70,9.62,10.49
17,11.23,10.15,11.02
18,11.76,10.68,11.55
19,12.29,11.21,12.08
20,12.82,11.74,12.61
21,13.35,12.27,13.14
22,13.88,12.80,13.67
23,14.41,13.33,14.20
24,14.94,13.86,14.73
25,15.47,14.39,15.26
26,16.00,14.92,15.79
27,16.53,15.45,16.32
28,17.06,15.98,16.85
29,17.59,16.51,17.38
30,18.12,17.04,17.91
31,18.65,17.57,18.44
32,19.18,18.10,18.97
33,19.71,18.63,19.50
34,20.24,19.16,20.03
35,20.77,19.69,20.56
36,21.30,20.22,21.09
37,21.83,20.75,21.62
38,22.36,21.28,22.15
39,22.89,21.81,22.68
40,23.42,22.34,23.21
41,23.95,22.87,23.74
42,24.48,23.40,24.27
43,25.01,23.93,24.80
44,25.54,24.46,25.33
45,26.07,24.99,25.86
46,26.60,25.52,26.39
47,27.13,26.05,26.92
48,27.66,26.58,27.45
49,28.19,27.11,27.98
50,28.72,27.64,28.51
51,29.25,28.17,29.04
52,29.78,28.70,29.57
53,30.31,29.23,30.10
54,30.84,29.76,30.63
55,31.37,30.29,31.16
56,31.90,30.82,31.69
57,32.43,31.35,32.22
58,32.96,31.88,32.75
59,33.49,32.41,33.28
60,34.02,32.94,33.81
61,34.55,33.47,34.34
62,35.08,34.00,34.87
63,35.61,34.53,35.40
64,36.14,35.06,35.93
65,36.67,35.59,36.46
66,37.20,36.12,36.99
67,37.73,36.65,37.52
68,38.26,37.18,38.05
69,38.79,37.71,38.58
70,39.32,38.24,39.11

