Media Mail,,,Final,,12/9/2020,,
,
Weight Not Over (lbs),Single Piece,5-Digit Presort,Basic Presort
1,2.89,1.76,2.67
2,3.45,2.32,3.23
3,4.01,2.88,3.79
4,4.57,3.44,4.35
5,5.13,4.00,4.91
6,5.69,4.56,5.47
7,6.25,5.12,6.03
8,6.81,5.68,6.59
9,7.37,6.24,7.15
10,7.93,6.80,7.71
11,8.49,7.36,8.27
12,9.05,7.92,8.83
13,9.61,8.48,9.39
14,10.17,9.04,9.95
15,10.73,9.60,10.51
16,11.29,10.16,11.07
17,11.85,10.72,11.63
18,12.41,11.28,12.19
19,12.97,11.84,12.75
20,13.53,12.40,13.31
21,14.09,12.96,13.87
22,14.65,13.52,14.43
23,15.21,14.08,14.99
24,15.77,14.64,15.55
25,16.33,15.20,16.11
26,16.89,15.76,16.67
27,17.45,16.32,17.23
28,18.01,16.88,17.79
29,18.57,17.44,18.35
30,19.13,18.00,18.91
31,19.69,18.56,19.47
32,20.25,19.12,20.03
33,20.81,19.68,20.59
34,21.37,20.24,21.15
35,21.93,20.80,21.71
36,22.49,21.36,22.27
37,23.05,21.92,22.83
38,23.61,22.48,23.39
39,24.17,23.04,23.95
40,24.73,23.60,24.51
41,25.29,24.16,25.07
42,25.85,24.72,25.63
43,26.41,25.28,26.19
44,26.97,25.84,26.75
45,27.53,26.40,27.31
46,28.09,26.96,27.87
47,28.65,27.52,28.43
48,29.21,28.08,28.99
49,29.77,28.64,29.55
50,30.33,29.20,30.11
51,30.89,29.76,30.67
52,31.45,30.32,31.23
53,32.01,30.88,31.79
54,32.57,31.44,32.35
55,33.13,32.00,32.91
56,33.69,32.56,33.47
57,34.25,33.12,34.03
58,34.81,33.68,34.59
59,35.37,34.24,35.15
60,35.93,34.80,35.71
61,36.49,35.36,36.27
62,37.05,35.92,36.83
63,37.61,36.48,37.39
64,38.17,37.04,37.95
65,38.73,37.60,38.51
66,39.29,38.16,39.07
67,39.85,38.72,39.63
68,40.41,39.28,40.19
69,40.97,39.84,40.75
70,41.53,40.40,41.31

