Global Express Guaranteed - Commercial Plus,Final,,12/9/2020
,,
Weight Not Over (Lbs),Price Groups,,,,,,,
,1,2,3,4,5,6,7,8
0.5,64.41,71.73,82.70,135.80,91.63,95.95,72.01,113.24
1,77.05,78.04,93.72,154.66,106.35,109.20,85.22,127.21
2,82.32,84.84,100.75,179.36,113.48,117.66,95.24,147.16
3,89.30,93.43,112.86,196.70,125.16,126.16,108.92,162.31
4,94.67,100.37,120.22,213.94,132.57,134.62,119.27,177.46
5,99.70,107.35,127.54,231.23,139.98,143.12,129.63,192.57
6,105.07,113.91,134.43,248.52,147.54,151.62,136.66,207.24
7,110.11,120.46,141.08,265.62,154.99,160.08,143.50,222.02
8,115.14,126.97,147.68,282.72,162.50,168.58,150.39,236.84
9,120.18,133.52,154.33,299.82,170.00,177.03,157.23,251.66
10,125.26,140.08,160.93,316.92,177.51,185.54,164.11,266.48
11,130.48,143.93,166.44,334.02,182.73,194.47,169.62,278.59
12,135.42,147.96,171.90,351.07,187.96,201.69,175.18,289.99
13,140.36,152.00,177.41,368.17,193.18,209.00,180.69,301.39
14,145.35,155.99,182.88,385.27,198.46,216.22,186.20,312.74
15,150.29,159.98,188.39,402.37,203.68,223.49,191.71,324.14
16,155.28,164.02,193.80,419.47,208.91,230.71,197.22,335.49
17,160.22,168.01,199.31,436.57,214.13,238.02,202.78,346.89
18,165.21,172.00,204.77,453.67,219.36,245.24,208.29,358.29
19,170.10,176.04,210.28,470.73,224.58,252.51,213.85,369.69
20,175.09,180.03,215.75,487.83,229.81,259.73,219.36,381.09
21,179.88,183.16,221.68,502.46,235.74,267.00,224.87,393.16
22,184.82,185.96,227.15,516.09,240.97,274.27,230.42,404.61
23,189.76,188.81,232.66,529.77,246.24,281.49,235.93,416.01
24,194.75,191.57,238.17,543.40,251.42,288.75,241.44,427.41
25,199.74,194.37,243.68,557.13,256.69,296.02,246.95,438.85
26,204.63,197.13,249.14,570.76,261.92,303.29,252.51,450.21
27,209.62,199.98,254.65,584.44,267.19,310.56,258.02,461.61
28,214.56,202.73,260.16,598.07,272.41,317.82,263.53,473.05
29,219.55,205.53,265.62,611.80,277.69,325.04,269.04,484.45
30,224.44,208.34,271.13,625.43,282.96,332.31,274.60,495.90
31,232.04,211.76,276.83,640.92,288.42,339.58,280.39,509.20
32,236.31,214.56,282.34,654.60,293.69,346.85,285.90,520.65
33,240.68,217.36,287.85,668.37,298.92,354.07,291.41,532.10
34,244.96,220.16,293.36,682.05,304.19,361.33,296.97,543.59
35,249.28,222.97,298.87,695.78,309.46,368.60,302.48,555.04
36,253.56,225.77,304.38,709.46,314.69,375.87,307.99,566.44
37,257.88,228.57,309.84,723.19,319.91,383.14,313.55,577.89
38,262.15,231.37,315.35,736.87,325.19,390.36,319.06,589.38
39,266.48,234.18,320.86,750.60,330.46,397.62,324.62,600.83
40,270.75,237.03,326.37,764.32,335.68,404.89,330.13,612.28
41,275.79,240.49,331.55,777.24,341.29,412.11,337.30,623.72
42,279.44,243.30,337.06,790.92,346.47,419.38,342.86,635.17
43,283.15,246.10,342.52,804.60,351.74,426.65,348.41,646.62
44,286.85,248.95,347.99,818.33,357.01,433.91,353.97,658.07
45,290.51,251.75,353.50,832.06,362.24,441.18,359.53,669.51
46,294.26,254.55,359.01,845.69,367.51,448.40,365.04,680.96
47,297.92,257.40,364.52,859.42,372.78,455.67,370.60,692.41
48,301.63,260.16,369.98,873.10,378.01,462.94,376.15,703.90
49,305.33,263.01,375.49,886.83,383.28,470.20,381.71,715.30
50,309.04,265.81,381.00,900.46,388.55,477.47,387.27,726.80
51,314.21,268.61,386.84,915.04,394.16,484.74,393.59,738.91
52,317.97,271.42,392.35,928.77,399.43,491.96,399.14,750.41
53,321.62,274.27,397.86,942.50,404.70,499.23,404.70,761.85
54,325.38,277.02,403.37,956.18,409.93,506.49,410.31,773.30
55,329.08,279.87,408.83,969.86,415.20,513.71,415.86,784.80
56,332.83,282.67,414.34,983.58,420.42,520.98,421.42,796.20
57,336.49,285.48,419.85,997.31,425.70,528.30,427.03,807.69
58,340.24,288.28,425.32,1010.99,431.02,535.52,432.54,819.19
59,343.95,291.13,430.83,1024.72,436.24,542.78,438.09,830.63
60,347.70,293.88,436.34,1038.40,441.51,550.05,443.65,842.08
61,351.03,296.73,442.27,1053.12,447.21,557.84,450.54,854.34
62,354.78,299.58,447.74,1066.80,452.44,565.11,456.10,865.83
63,358.44,302.34,453.25,1080.53,457.71,572.38,461.70,877.28
64,362.19,305.19,458.76,1094.26,462.98,579.60,467.26,888.77
65,365.89,307.99,464.27,1108.03,468.21,586.91,472.86,900.27
66,369.60,310.79,469.73,1121.71,473.53,594.18,478.47,911.72
67,373.30,313.60,475.29,1135.44,478.80,601.40,484.03,923.21
68,377.01,316.45,480.80,1149.17,484.03,608.67,489.63,934.66
69,380.76,319.20,486.26,1162.85,489.30,615.98,495.19,946.15
70,384.42,322.05,491.77,1176.58,494.52,623.20,500.79,957.65
