USPS Retail Ground LOR,Final,,12/9/2020,,,
,,,,
Limited Overland Routes
Weight Not Over (Lbs),Zones,,,,,,,
,1 & 2,Zone 3,Zone 4,Zone 5,Zone 6,Zone 7,Zone 8,Zone 9
1,7.30,7.65,8.00,8.25,-,-,-,-
2,8.05,8.45,9.10,9.65,-,-,-,-
3,8.30,9.40,10.35,12.55,-,-,-,-
4,8.80,9.95,11.00,13.10,-,-,-,-
5,9.35,10.25,11.60,13.60,-,-,-,-
6,9.55,10.80,12.20,14.60,-,-,-,-
7,9.85,11.25,12.95,15.60,-,-,-,-
8,10.20,11.80,13.65,16.65,-,-,-,-
9,10.60,12.50,14.40,17.75,-,-,-,-
10,10.90,12.85,15.05,18.70,-,-,-,-
11,11.20,13.20,15.65,19.55,-,-,-,-
12,11.55,13.75,16.35,20.55,-,-,-,-
13,11.90,14.20,17.10,21.45,-,-,-,-
14,12.25,14.80,17.75,22.40,-,-,-,-
15,12.65,15.30,18.50,23.45,-,-,-,-
16,13.00,15.80,19.20,24.40,-,-,-,-
17,13.35,16.35,19.90,25.35,-,-,-,-
18,13.65,16.90,20.60,26.35,-,-,-,-
19,14.05,17.35,21.20,27.15,-,-,-,-
20,14.40,17.80,21.80,28.00,-,-,-,-
21,14.75,18.30,22.40,28.80,-,-,-,-
22,15.10,18.75,23.00,29.60,-,-,-,-
23,15.45,19.25,23.60,30.50,-,-,-,-
24,15.80,19.70,24.25,31.25,-,-,-,-
25,16.15,20.20,25.00,32.15,-,-,-,-
26,16.45,20.65,25.70,32.95,-,-,-,-
27,16.85,21.15,26.35,34.00,-,-,-,-
28,17.20,21.60,27.05,34.85,-,-,-,-
29,17.60,22.05,27.70,35.70,-,-,-,-
30,18.10,22.55,28.30,36.50,-,-,-,-
31,18.65,22.95,29.00,37.25,-,-,-,-
32,18.95,23.50,29.55,38.05,-,-,-,-
33,19.35,23.95,30.25,38.85,-,-,-,-
34,19.85,24.45,30.85,39.70,-,-,-,-
35,20.45,24.95,31.50,40.55,-,-,-,-
36,20.70,25.45,32.10,41.40,-,-,-,-
37,21.15,25.90,32.70,42.25,-,-,-,-
38,21.60,26.40,33.35,43.15,-,-,-,-
39,22.10,26.90,33.95,44.00,-,-,-,-
40,22.55,27.35,34.70,44.90,-,-,-,-
41,23.00,27.90,35.30,45.65,-,-,-,-
42,23.35,28.35,35.90,46.55,-,-,-,-
43,23.80,28.90,36.45,47.35,-,-,-,-
44,24.10,29.35,37.10,48.20,-,-,-,-
45,24.45,29.75,37.65,49.15,-,-,-,-
46,24.80,30.25,38.30,50.05,-,-,-,-
47,25.20,30.70,38.90,51.00,-,-,-,-
48,25.50,31.20,39.45,51.80,-,-,-,-
49,25.90,31.65,40.05,52.75,-,-,-,-
50,26.30,32.05,40.60,53.65,-,-,-,-
51,26.65,32.55,41.25,54.50,-,-,-,-
52,27.05,33.05,41.80,55.25,-,-,-,-
53,27.35,33.45,42.40,56.05,-,-,-,-
54,27.65,33.90,42.95,56.85,-,-,-,-
55,28.10,34.30,43.55,57.60,-,-,-,-
56,28.45,34.80,44.15,58.40,-,-,-,-
57,28.85,35.25,44.70,59.15,-,-,-,-
58,29.20,35.70,45.30,59.90,-,-,-,-
59,29.55,36.15,45.90,60.65,-,-,-,-
60,29.90,36.60,46.50,61.45,-,-,-,-
61,30.30,37.05,47.10,62.15,-,-,-,-
62,30.65,37.50,47.80,63.00,-,-,-,-
63,31.05,38.00,48.45,63.70,-,-,-,-
64,31.40,38.40,49.10,64.45,-,-,-,-
65,31.75,38.85,49.65,65.15,-,-,-,-
66,32.10,39.25,50.35,65.90,-,-,-,-
67,32.50,39.75,50.95,66.60,-,-,-,-
68,32.90,40.15,51.60,67.35,-,-,-,-
69,33.20,40.60,52.25,68.05,-,-,-,-
70,33.60,41.75,53.30,68.85,-,-,-,-
Balloon,14.40,17.80,21.80,28.00,-,-,-,-
Oversized,49.10,67.30,74.15,89.85,-,-,-,-
,,,,,,,,
